ngay,mo cua,dong cua,thay doi,%thay doi,KLGD khop lenh,KLGD thoa thuan,KLGD tong cong,GTGD khop lenh (ty),GTGD thoa thuan (ty),GTGD tong cong (ty)
14/05/2018,122.766181,123.277594,0.51,0.42,"30,022,361","21,094,236","51,116,597",364.66,250.25,614.91
15/05/2018,123.277593,123.653353,0.38,0.3,"36,547,223","1,789,481","38,336,704",605.31,27.65,632.96
16/05/2018,123.653353,121.488722,-2.16,-1.75,"40,564,128","28,259,702","68,823,830",624.63,266.43,891.05
17/05/2018,121.488722,121.499656,0.01,0.01,"40,193,375","5,148,303","45,341,678",586.01,70.18,656.19
18/05/2018,121.499656,121.269189,-0.23,-0.19,"46,752,996","10,177,954","56,930,950",692.01,137.94,829.95
21/05/2018,121.269189,119.657811,-1.61,-1.33,"34,343,949","761,513","35,105,462",508.41,15.29,523.7
22/05/2018,119.657811,116.716183,-2.94,-2.46,"61,177,163","9,447,007","70,624,170",837.04,99.26,936.29
23/05/2018,116.716183,118.10723,1.39,1.19,"36,681,092","11,494,415","48,175,507",533.05,115.79,648.83
24/05/2018,118.107229,117.069804,-1.04,-0.88,"25,562,788","810,449","26,373,237",381,3.35,384.35
25/05/2018,117.069804,114.485781,-2.58,-2.21,"41,666,676","2,505,930","44,172,606",642.11,55.14,697.24
28/05/2018,114.485781,107.374677,-7.11,-6.21,"61,409,997","7,245,591","68,655,588",895.66,130.01,"1,025.67"
29/05/2018,107.374678,112.88385,5.51,5.13,"46,597,346","3,663,237","50,260,583",646.59,46.59,693.19
30/05/2018,112.88385,111.696582,-1.19,-1.05,"37,470,372","2,005,189","39,475,561",482.59,29.28,511.86
31/05/2018,111.696582,114.910152,3.21,2.88,"40,512,489","2,116,931","42,629,420",565.68,22.85,588.53
01/06/2018,114.910153,115.745,0.83,0.73,"47,981,165","6,366,421","54,347,586",693.14,62.14,755.28
04/06/2018,115.744999,118.318713,2.57,2.22,"51,771,688","3,909,929","55,681,617",746.89,69.09,815.98
05/06/2018,118.318713,118.183346,-0.14,-0.11,"55,837,794","8,914,709","64,752,503",691.76,268.17,959.92
06/06/2018,118.183346,120.4165,2.23,1.89,"44,861,047","3,696,261","48,557,308",698.76,37.11,735.87
07/06/2018,120.4165,118.9913,-1.43,-1.18,"42,741,070","5,454,889","48,195,959",672.28,37.19,709.46
08/06/2018,118.991301,119.856389,0.87,0.73,"40,722,462","3,239,040","43,961,502",568.57,41.31,609.88
